scheme name,target group,occupation,age,eligibility criteria,description,benenfits,application process,link,,,,,,,,,,,,,,,,,,,
Deendayal Antyodaya Yojana-National Rural Livelihoods Mission (DAY-NRLM),"Poor individuals, especially women",people below the poverty line,18 and above,Must be part of Self-Help Groups (SHGs),A flagship program of the Govt. of India aimed at poverty reduction through building strong institutions of the poor.,Access to financial services and livelihoods through SHGs.,Through SHGs; additional loans based on repayment behavior.,Link,,,,,,,,,,,,,,,,,,,
Kisan Credit Card (KCC),Farmers,farmers,18-75,Farmers needing credit for agricultural activities,A scheme providing timely credit support for farmers' cultivation and other needs through a simplified procedure.,"Supports short-term credit for crops, post-harvest expenses, and working capital for farm maintenance.",Apply through banks with required documentation.,Link,,,,,,,,,,,,,,,,,,,
Kisan Credit Card-Fisheries (KCCFIM),Fisheries farmers,fisheries,18 above,Fisheries farmers needing credit for aquatic culture,A scheme providing credit support to fisheries farmers for working capital and other needs through a simplified procedure.,Timely credit with low and concessional interest rates.,Apply through banks with required documentation.,Link,,,,,,,,,,,,,,,,,,,
Roof Top Solar Installation Financing (SOLAR),Homeowners,anyone,18 and above,Registration at the National Portal for PM - Surya Ghar is mandatory,A scheme to finance the installation of solar power systems on rooftops to reduce electricity costs.,Reduces high electricity tariffs by using solar energy.,Register at the National Portal (pmsuryaghar.gov.in) for loan facility.,PM Surya Ghar,,,,,,,,,,,,,,,,,,,
Agricultural Marketing Infrastructure (AMI),Agricultural producers,farmers,18 and above,Various categories of promoters,A scheme to develop marketing infrastructure for handling agricultural products and improving market access.,Subsidy for storage capacity development; assistance for primary processing of various agricultural products.,Apply through relevant authorities with project proposals.,Link,,,,,,,,,,,,,,,,,,,
Agriculture Infrastructure Fund (AIF),Farmers and cooperatives,farmers,20 and above,Viable projects for post-harvest management,A fund to mobilize debt finance for investment in post-harvest management infrastructure and community farming assets.,Improved marketing infrastructure and reduced post-harvest losses for farmers.,Apply through designated financial institutions.,Link,,,,,,,,,,,,,,,,,,,
Prime Minister's Employment Generation Programme (PMEGP),Rural and urban unemployed youth,anyone,na,Individuals seeking self-employment opportunities,A scheme to create employment through the establishment of micro enterprises and self-employment ventures.,Increases wage earning capacity and generates employment opportunities.,Apply through designated banks or Khadi and Village Industries Commission (KVIC).,Link,,,,,,,,,,,,,,,,,,,
Weaver Mudra Scheme (WMS),Weavers and ancillary workers,na,na,Identified weavers under the third census of handloom weavers,A scheme providing timely credit assistance to weavers for their financial needs.,Adequate financial support to meet credit requirements.,Apply through banking institutions with necessary documentation.,Link,,,,,,,,,,,,,,,,,,,
Pradhan Mantri MUDRA Yojna (PMMY),Aspiring entrepreneurs,na,18 and above,New generation youth aspiring to start businesses,A scheme to promote entrepreneurship among youth through micro financing.,"Access to loans for various business activities categorized under Shishu, Kishore, and Tarun.",Apply through banks with required documentation.,Link,,,,,,,,,,,,,,,,,,,
Pradhan Mantri Street Vendor Aatmanirbhar Nidhi Scheme (PM SVANidhi),Street vendors,na,na,Street vendors seeking financial support,A scheme to formalize street vendors and provide them with working capital loans.,Enhanced loan limits upon timely repayment.,Apply through local authorities or banks.,Link,,,,,,,,,,,,,,,,,,,
